name,position
Zdravko Krivokapić,Prime Minister of Montenegro
Dritan Abazović,Deputy Prime Minister of Montenegro
Sergej Sekulović,Minister of the Interior
Olivera Injac,Minister of Defence
Milojko Spajić,Minister of Finance and Social Welfare
Đorđe Radulović,Minister of Foreign Affairs
Tamara Srzentic,"Minister of Public Administration, Digital Society and Media"
Vesna Bratić,"Minister of Education, Science, Culture and Sports"
Jelena Borovinić-Bojović,Minister of Health
Ratko Mitrović,"Minister of Ecology, Spatial Planning and Urbanism"
Mladen Bojanić,Minister of Capital Investments
